Participant,Scenario,Total available score,BF Avatar Demonstrations,AF Avatar Demonstrations,% score BF,% score AF,diff,Total # of Edges & Nodes in GT,BF Total # of Correct Edges & Nodes compared to GT,AF Total # of Correct Edges & Nodes compared to GT,% score BF,% score AF,diff,BF The avatar’s decision flow accurately learned from my coaching as I intended.,AF The avatar’s decision flow accurately learned from my coaching as I intended.,diff,"BF Considering the avatar’s decision flow and the demonstrations, the avatar’s learning is good enough to teach someone else.","AF Considering the avatar’s decision flow and the demonstrations, the avatar’s learning is good enough to teach someone else.",diff,It was easy to teach the avatar in augmented reality.,It was easy to correct the avatar’s behavior with the system.,Coaching Experience
1,distribute,24,19,14,79.17%,58.33%,-20.83%,25,18,22,72.00%,88.00%,16.00%,6,5,-1,6,4,-2,6,5,yes
2,overlap,24,16,18,66.67%,75.00%,8.33%,9,7,9,77.78%,100.00%,22.22%,5,6,1,5,6,1,6,6,no
3,lure,18,8,10,44.44%,55.56%,11.11%,12,5,6,41.67%,50.00%,8.33%,2,3,1,2,2,0,3,5,yes
4,distribute,24,15,4,62.50%,16.67%,-45.83%,13,10,11,76.92%,84.62%,7.69%,4,5,1,3,2,-1,6,3,NA
5,lure,18,14,17,77.78%,94.44%,16.67%,13,13,13,100.00%,100.00%,0.00%,5,7,2,4,5,1,6,6,yes
6,distribute,24,16,20,66.67%,83.33%,16.67%,14,0,14,0.00%,100.00%,100.00%,2,5,3,3,5,2,5,5,yes
7,overlap,24,21,24,87.50%,100.00%,12.50%,9,9,9,100.00%,100.00%,0.00%,7,7,0,2,5,3,5,6,yes
8,lure,18,3,6,16.67%,33.33%,16.67%,9,6,8,66.67%,88.89%,22.22%,5,6,1,2,2,0,6,6,yes
9,overlap,24,18,24,75.00%,100.00%,25.00%,6,6,6,100.00%,100.00%,0.00%,6,6,0,2,6,4,6,6,yes
10,distribute,24,21,24,87.50%,100.00%,12.50%,19,11,19,57.89%,100.00%,42.11%,5,6,1,5,6,1,6,7,no
11,lure,18,17,18,94.44%,100.00%,5.56%,12,12,12,100.00%,100.00%,0.00%,6,7,1,6,6,0,6,7,NA
12,overlap,24,18,12,75.00%,50.00%,-25.00%,13,13,13,100.00%,100.00%,0.00%,7,7,0,2,1,-1,6,2,yes
13,distribute,24,6,11,25.00%,45.83%,20.83%,19,5,9,26.32%,47.37%,21.05%,2,5,3,1,4,3,6,5,no
14,lure,18,7,18,38.89%,100.00%,61.11%,10,9,9,90.00%,90.00%,0.00%,2,6,4,1,6,5,5,6,no
15,overlap,24,21,21,87.50%,87.50%,0.00%,13,9,12,69.23%,92.31%,23.08%,4,5,1,5,4,-1,5,7,NA
16,distribute,24,12,12,50.00%,50.00%,0.00%,17,9,9,52.94%,52.94%,0.00%,5,3,-2,2,5,3,6,5,yes
17,lure,18,15,15,83.33%,83.33%,0.00%,8,8,3,100.00%,37.50%,-62.50%,6,1,-5,4,5,1,5,5,NA
18,overlap,24,21,23,87.50%,95.83%,8.33%,9,9,9,100.00%,100.00%,0.00%,5,6,1,6,7,1,6,7,no
19,distribute,24,24,NA,NA,NA,NA,11,11,NA,NA,NA,NA,7,NA,NA,7,NA,NA,7,NA,yes
20,lure,18,18,18,100.00%,100.00%,0.00%,7,7,7,100.00%,100.00%,0.00%,5,7,2,6,7,1,7,7,no
,,,,,,,,,,,,,,,,,,,,,,
AVG,,,,,68.71%,75.22%,6.51%,,,,75.34%,85.87%,10.54%,4.8,5.421052632,0.7368421053,3.7,4.631578947,1.105263158,5.7,5.578947368,
STD,,,,,23.61%,26.62%,21.84%,,,,29.09%,21.43%,29.74%,1.673320053,1.609547537,1.977818168,1.922169827,1.770452745,1.742397117,0.8645047259,1.346426937,
MEDIAN,,,,,75.00%,83.33%,8.33%,,,,77.78%,100.00%,0.00%,5,6,1,3.5,5,1,6,6,
,,,,,,,,,,,,,,,,,,,,,,
"BF = before feedback, AF = after feedback, GT = ground truth",,,,,,,,,,,,,,,,,,,,,,
Correctness,Completeness,,,,,,,,,,,,,,,,,,,,,